stock_id,name,category,enabled
P0W00,發行量加權股價指數,大盤,TRUE
0050,元大台灣50,ETF,TRUE
2368,金像電,PCB,TRUE
3443,創意,IP/ASIC,TRUE
2379,瑞昱,IC設計,TRUE
4772,台特化,化工,TRUE
2014,中鴻,鋼鐵,TRUE
6515,穎崴,半導體設備,TRUE
6510,精測,半導體設備,TRUE
3529,力旺,IP/ASIC,TRUE
2454,聯發科,IC設計,TRUE
3711,日月光投控,封測,TRUE
4966,譜瑞-KY,IC設計,TRUE
1301,台塑,塑化,TRUE
8150,南茂,封測,TRUE
3044,健鼎,PCB,TRUE
6182,合晶,矽晶圓,TRUE
2801,彰銀,金融,TRUE
6643,M31,IP/ASIC,TRUE
3037,欣興,PCB,TRUE
2834,臺企銀,金融,TRUE
5904,寶雅,零售,TRUE
6488,環球晶,矽晶圓,TRUE
3293,鈊象,遊戲,TRUE
6173,信昌電,被動元件,TRUE
2345,智邦,網通,TRUE
3026,禾伸堂,被動元件,TRUE
3035,智原,IP/ASIC,TRUE
3008,大立光,光學,TRUE
6719,力智,IC設計,TRUE
2059,川湖,機殼/伺服器,TRUE
6669,緯穎,伺服器,TRUE
3374,精材,半導體,TRUE
3131,弘塑,半導體設備,TRUE
2327,國巨,被動元件,TRUE
2308,台達電,電源/零組件,TRUE
3653,健策,散熱,TRUE
3661,世芯-KY,IP/ASIC,TRUE
2330,台積電,晶圓代工,TRUE
5274,信驊,BMC/伺服器,TRUE
